[[0, 55, 13, 12, 42], [7, 13, 56, 8, 45], [13, 22, 59, 41], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 53, 14, 12, 54], [6, 14, 63, 8, 48], [2, 29, 57, 47], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 56, 13, 10, 46], [7, 13, 57, 15, 40], [3, 12, 77, 36], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 21, 35], [8, 22, 59, 8, 35], [6, 25, 64, 35], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 49, 12, 10, 35], [5, 12, 50, 13, 35], [7, 25, 45, 35], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 53, 13, 12, 35], [24, 13, 53, 8, 39], [12, 21, 57, 35], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 53, 13, 12, 35], [5, 13, 57, 8, 35], [1, 26, 51, 36], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 21, 35], [8, 22, 59, 8, 35], [3, 12, 77, 35], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 26, 38], [2, 12, 65, 20, 36], [3, 12, 83, 38], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 26, 36], [2, 12, 64, 20, 35], [3, 12, 82, 37], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 19, 36], [9, 22, 58, 8, 36], [3, 12, 77, 35], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 22, 40], [9, 24, 51, 13, 43], [14, 23, 61, 47], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 54, 13, 10, 41], [7, 13, 56, 15, 35], [4, 28, 57, 35], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 19, 35], [9, 22, 57, 8, 35], [3, 14, 71, 36], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 53, 13, 12, 38], [5, 13, 58, 8, 37], [4, 36, 52, 35], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 56, 13, 10, 46], [7, 16, 55, 15, 39], [3, 12, 77, 36], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 22, 39], [9, 24, 51, 13, 42], [11, 44, 55, 35], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 56, 13, 12, 50], [2, 12, 61, 19, 39], [3, 12, 82, 37], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 53, 13, 12, 35], [24, 13, 53, 8, 39], [1, 26, 51, 36], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
[[0, 55, 14, 14, 48], [7, 13, 59, 20, 39], [14, 23, 61, 47], [10, 34, 75, 31, 19, 41], [134, 48, 89, 63], [105, 35, 67, 52, 46], [52, 30, 96, 74]]
